City,State,Total_Population,Median_Income,Unemployment_Rate,Median_Age,Type,Total no. of census tracts,Total no. of disadvantaged tracts,Percentage of disadvantaged population
Highland Heights city,Kentucky,7372,41324,2.24,24.6,City,4,0,0
Hills and Dales city,Kentucky,165,135000,1.15,50.8,City,2,0,0
Hillview city,Kentucky,9066,56523,4.34,36.1,City,7,1,39.81
Hindman city,Kentucky,619,17278,10.29,30.3,City,1,1,100
Hodgenville city,Kentucky,3221,35547,0,29.1,City,2,0,0
Hollow Creek city,Kentucky,823,79583,0.52,50.8,City,1,0,0
Hollyvilla city,Kentucky,469,44712,9.2,38.9,City,1,1,100
Hopkinsville city,Kentucky,31052,39743,7.67,37.3,City,13,7,55.12
Horse Cave city,Kentucky,2387,40283,6.11,42.9,City,1,1,100
Houston Acres city,Kentucky,561,85625,0.63,47.7,City,1,0,0
Hunters Hollow city,Kentucky,338,73750,5.03,32.2,City,1,0,0
Hurstbourne Acres city,Kentucky,1995,61536,1.86,29.9,City,1,0,0
Hurstbourne city,Kentucky,4402,107455,1.13,40.6,City,2,0,0
Hustonville city,Kentucky,564,32054,8.61,44.6,City,1,1,100
Hyden city,Kentucky,375,78036,6.45,67,City,2,0,0
Independence city,Kentucky,28119,79929,3.07,34.2,City,9,0,0
Indian Hills city,Kentucky,3011,158958,1.83,51.8,City,2,0,0
Inez city,Kentucky,968,51458,7.08,37.5,City,3,1,100
Irvine city,Kentucky,2669,32569,9.89,42.5,City,5,2,100
Irvington city,Kentucky,1336,41071,7.82,41.1,City,1,1,100
Island city,Kentucky,576,42500,12.04,48.9,City,1,0,0
Jackson city,Kentucky,2201,32644,7.21,42,City,5,2,100
Jamestown city,Kentucky,2242,27500,4.93,38.8,City,2,2,100
Jeffersontown city,Kentucky,27933,70951,4.17,39.8,City,16,0,0
Jeffersonville city,Kentucky,1927,47500,6.95,37.9,City,1,1,100
Jenkins city,Kentucky,1815,27415,18.54,35.9,City,1,1,100
Junction city,Kentucky,1944,32396,4.6,45.2,City,2,1,51.36
Kenton Vale city,Kentucky,135,38750,0,38.9,City,2,1,44.54
Kevil city,Kentucky,768,43333,5.47,46,City,2,0,0
Kingsley city,Kentucky,425,92031,2.87,50.1,City,1,0,0
Kuttawa city,Kentucky,514,51667,5.97,52.4,City,2,0,0
La Center city,Kentucky,700,39946,1.14,55.1,City,1,0,0
La Grange city,Kentucky,8938,69655,3.4,37,City,5,0,0
Lakeside Park city,Kentucky,2758,92703,0,46.7,City,2,0,0
Lakeview Heights city,Kentucky,421,71875,6.29,57.9,City,1,0,0
Lancaster city,Kentucky,3837,40151,8.97,37.2,City,2,1,100
Langdon Place city,Kentucky,1020,97639,2.24,39.1,City,1,0,0
Lawrenceburg city,Kentucky,11416,49328,7.51,35.5,City,4,1,57.39
Lebanon city,Kentucky,5960,30168,13.79,44.8,City,3,2,67.41
Lebanon Junction city,Kentucky,2276,44812,13.08,43,City,1,0,0
Leitchfield city,Kentucky,6789,34091,0.72,36.5,City,4,2,100
Lewisburg city,Kentucky,924,32115,7.75,50,City,1,1,100
Lewisport city,Kentucky,1824,50139,6.45,35.3,City,1,0,0
Liberty city,Kentucky,1971,30521,17.44,41.8,City,2,0,0
Lincolnshire city,Kentucky,128,104167,0,47,City,1,0,0
Livermore city,Kentucky,1116,23438,4.53,46.8,City,1,1,100
Livingston city,Kentucky,149,23929,0,38.2,City,1,1,100
London city,Kentucky,8058,40574,2.46,39.1,City,5,3,53.17
Loretto city,Kentucky,723,35833,5.67,31.8,City,1,0,0
Louisa city,Kentucky,2852,29167,5.05,43.5,City,2,0,0
Loyall city,Kentucky,584,24545,11.76,39.2,City,1,1,100
Ludlow city,Kentucky,4532,54551,3.54,39.9,City,3,1,43.01
Lynch city,Kentucky,536,38594,3.91,62.4,City,1,1,100
Lyndon city,Kentucky,11451,58538,3.57,35.3,City,8,0,0
Lynnview city,Kentucky,760,47578,0.72,41.8,City,1,0,0
Mackville city,Kentucky,244,47292,4.94,36.1,City,1,0,0
Madisonville city,Kentucky,18801,43193,7.68,35.6,City,8,5,77.11
Manchester city,Kentucky,2195,23203,9.96,38.2,City,3,1,100
Manor Creek city,Kentucky,257,136250,2.19,44.1,City,1,0,0
Marion city,Kentucky,2885,40931,1.66,46.1,City,1,1,100
Martin city,Kentucky,351,23125,12.17,29.9,City,2,0,0
Maryhill Estates city,Kentucky,219,243056,0,39.8,City,1,0,0
Mayfield city,Kentucky,9823,36485,11.14,33.4,City,4,2,100
Maysville city,Kentucky,8752,36480,5.17,40.7,City,4,3,72.44
McHenry city,Kentucky,312,39583,2.5,36,City,1,1,100
McKee city,Kentucky,1065,20061,8.06,53,City,2,0,0
Meadow Vale city,Kentucky,791,85000,0.77,37.9,City,2,0,0
Meadowbrook Farm city,Kentucky,112,72500,0,47.5,City,1,0,0
Meadowview Estates city,Kentucky,132,53250,2.74,61.8,City,1,0,0
Melbourne city,Kentucky,614,76667,5.19,57.8,City,1,0,0
Mentor city,Kentucky,287,77188,3.18,39.6,City,1,0,0
Middlesborough city,Kentucky,9242,29114,6.8,40,City,4,4,100
Middletown city,Kentucky,7885,75207,5.75,45.1,City,7,0,0
Midway city,Kentucky,1864,56893,9.11,41.1,City,1,0,0
Millersburg city,Kentucky,798,40233,15.65,54.8,City,2,2,100
Milton city,Kentucky,615,45000,2.54,46.7,City,1,0,0
Mockingbird Valley city,Kentucky,144,216250,0,52.5,City,1,0,0
Monticello city,Kentucky,5999,36956,10.71,36.8,City,3,1,100
Moorland city,Kentucky,571,61154,7.67,34.5,City,1,0,0
Morehead city,Kentucky,7653,29779,4.81,21.9,City,4,0,0
Morganfield city,Kentucky,3416,43184,5.53,39.5,City,2,2,100
Morgantown city,Kentucky,2729,30234,13.14,38,City,2,0,0
Mortons Gap city,Kentucky,1052,35156,8.35,40,City,2,1,43.6
Mount Olivet city,Kentucky,289,14327,1.49,36.6,City,1,1,100
Mount Sterling city,Kentucky,7190,41474,8.99,39.6,City,5,0,0
Mount Vernon city,Kentucky,2191,18542,7.61,43.3,City,4,1,47.75
Mount Washington city,Kentucky,14699,74817,5.37,36,City,6,0,0
Muldraugh city,Kentucky,1078,50361,18.83,37.9,City,2,1,59.02
Munfordville city,Kentucky,1659,24097,4.49,45.9,City,2,1,100
Murray city,Kentucky,19254,31827,4.66,27,City,8,2,44.57
Murray Hill city,Kentucky,613,85156,1.07,51.5,City,1,0,0
Nebo city,Kentucky,162,70000,4.6,46.3,City,1,0,0
New Castle city,Kentucky,1050,33438,3.47,50.9,City,1,0,0
New Haven city,Kentucky,742,52917,5.25,43.3,City,1,0,0
Newport city,Kentucky,15045,39335,6.49,37.7,City,8,4,37.8
Nicholasville city,Kentucky,30549,54575,5.93,37.7,City,10,3,43.1
Norbourne Estates city,Kentucky,510,146875,0.77,52.5,City,1,0,0
North Middletown city,Kentucky,722,35625,6.98,36.2,City,1,1,100
Northfield city,Kentucky,1266,108399,0.71,49.4,City,4,0,0
Nortonville city,Kentucky,985,31103,11.05,48.8,City,1,1,100
Norwood city,Kentucky,413,83750,2.93,45,City,1,0,0
Oak Grove city,Kentucky,7332,39219,10.05,25.5,City,4,1,51.16
Oakland city,Kentucky,254,32083,3.54,57.6,City,1,0,0
Old Brownsboro Place city,Kentucky,416,146875,0,51.5,City,2,0,0
Olive Hill city,Kentucky,1568,44917,2.52,53.1,City,2,2,100
Orchard Grass Hills city,Kentucky,2120,88333,1.83,29.9,City,1,0,0
Owensboro city,Kentucky,59796,46193,4.55,38.4,City,19,7,33.89
Owenton city,Kentucky,1701,37500,9.1,42,City,3,1,100
Owingsville city,Kentucky,2142,31541,6.06,43.2,City,2,0,0
Paducah city,Kentucky,24947,39061,2.98,43.8,City,15,8,50.06
Paintsville city,Kentucky,4032,22047,17.72,45.3,City,5,3,100
Paris city,Kentucky,9776,41234,5.59,37.8,City,7,1,30.66
Park city,Kentucky,643,41250,0,35.6,City,2,2,100
Park Hills city,Kentucky,2993,62750,2.7,30.4,City,4,1,29.01
Parkway Village city,Kentucky,713,63864,1.18,34.5,City,1,0,0
Pembroke city,Kentucky,725,56964,4.13,37.6,City,1,0,0
Perryville city,Kentucky,964,51202,4.81,42.6,City,1,0,0
Pewee Valley city,Kentucky,1553,113333,5.06,48.5,City,2,0,0
Pikeville city,Kentucky,6642,39122,4.71,33.2,City,7,1,34.23
Pineville city,Kentucky,1902,23920,14.96,42.5,City,3,3,100
Pioneer Village city,Kentucky,2933,70461,1.76,50.2,City,5,0,0
Plantation city,Kentucky,928,55417,4.92,33.7,City,1,0,0
Pleasureville city,Kentucky,1409,41782,3.9,26.6,City,2,1,35.72
Plum Springs city,Kentucky,448,51875,4.12,42,City,1,0,0
Poplar Hills city,Kentucky,408,22563,5.18,34.8,City,1,1,100
Powderly city,Kentucky,812,39653,2.02,46.8,City,3,3,100
Prestonsburg city,Kentucky,3537,27061,15.71,33.1,City,7,3,100
Prestonville city,Kentucky,184,22708,8.45,42.8,City,1,1,100
Princeton city,Kentucky,6087,45047,3.42,35.6,City,3,0,0
Prospect city,Kentucky,4961,152973,5.55,54.9,City,5,0,0
Providence city,Kentucky,3006,38614,5.86,45.1,City,1,1,100
Raceland city,Kentucky,2215,55501,8.79,50.3,City,3,0,0
Radcliff city,Kentucky,22796,45463,9.17,35.5,City,11,2,31.07
Ravenna city,Kentucky,767,33750,11.11,46.7,City,1,1,100
Raywick city,Kentucky,170,29306,19.19,33.4,City,1,0,0
Richlawn city,Kentucky,374,96250,2.95,44.4,City,1,0,0
Richmond city,Kentucky,35744,39329,8.66,26.2,City,17,1,8.08
River Bluff city,Kentucky,589,115000,0.58,35.1,City,1,0,0
Riverwood city,Kentucky,535,209167,1.15,40.5,City,1,0,0
Robards city,Kentucky,481,55250,6.4,48.6,City,1,0,0
Rochester city,Kentucky,164,66000,9.23,46,City,1,0,0
Rockport city,Kentucky,227,41750,6.58,37.4,City,1,1,100
Rolling Fields city,Kentucky,489,181875,0,54.7,City,1,0,0
Rolling Hills city,Kentucky,1009,88846,2.37,40.3,City,1,0,0
Russell city,Kentucky,3257,62005,1.65,42.8,City,9,4,48.73
Russell Springs city,Kentucky,2587,31714,6.72,37.2,City,2,2,100
Russellville city,Kentucky,7056,34078,7.7,41.3,City,3,2,70.84
Ryland Heights city,Kentucky,1101,53409,4.15,40.7,City,3,0,0
Sacramento city,Kentucky,443,28594,38.81,38.2,City,1,0,0
Sadieville city,Kentucky,361,50750,0.96,35.8,City,2,0,0
Salem city,Kentucky,653,40188,5.68,54.4,City,1,1,100
Salt Lick city,Kentucky,332,27232,5.34,43.5,City,1,1,100
Salyersville city,Kentucky,1964,29063,7,45,City,3,1,100
Sanders city,Kentucky,330,31269,0,55.3,City,1,1,100
Sandy Hook city,Kentucky,649,16726,4.73,41.5,City,1,0,0
Sardis city,Kentucky,53,27813,8.33,61.5,City,2,1,52.73
Science Hill city,Kentucky,814,32411,6.56,32.7,City,2,1,100
Scottsville city,Kentucky,4489,32441,7.58,35.9,City,3,3,100
Sebree city,Kentucky,1552,47596,0.3,26.9,City,1,1,100
Seneca Gardens city,Kentucky,672,134286,0.31,45.4,City,1,0,0
Sharpsburg city,Kentucky,470,26563,4.1,41.7,City,1,1,100
Shelbyville city,Kentucky,16244,65986,3.69,38.4,City,7,2,67.34
Shepherdsville city,Kentucky,13757,64798,3.65,35.9,City,10,1,17.52
Shively city,Kentucky,15723,41455,7.35,40.1,City,8,5,74.25
Silver Grove city,Kentucky,1459,39553,4.47,41.6,City,2,0,0
Simpsonville city,Kentucky,2868,84250,1.74,33,City,2,0,0
Slaughters city,Kentucky,249,43438,1.92,39.3,City,1,1,100
Smithfield city,Kentucky,213,40179,1.49,35.1,City,2,1,52.71
Smithland city,Kentucky,332,56083,0,42.9,City,1,0,0
Smiths Grove city,Kentucky,683,54063,10.63,49.7,City,1,0,0
Somerset city,Kentucky,11548,27739,10.79,39.3,City,12,4,100
Sonora city,Kentucky,981,49388,4.19,25,City,1,0,0
South Carrollton city,Kentucky,230,34625,0,50.8,City,1,0,0
South Shore city,Kentucky,1287,24958,28.14,41.3,City,1,1,100
Southgate city,Kentucky,3957,60167,4.32,33.6,City,4,0,0
Sparta city,Kentucky,283,46250,4.5,32.4,City,2,1,100
Spring Mill city,Kentucky,365,110625,1.52,41.8,City,1,0,0
Spring Valley city,Kentucky,819,142768,2.25,38.5,City,1,0,0
Springfield city,Kentucky,2965,41026,4.23,31.9,City,2,0,0
St. Charles city,Kentucky,305,28750,2.94,40.2,City,1,1,100
St. Mary city,Kentucky,247,75625,4.41,26.1,City,1,0,0
St. Matthews city,Kentucky,18022,67105,3.61,37.8,City,11,0,0
St. Regis Park city,Kentucky,1568,81793,2.91,50.8,City,2,0,0
Stamping Ground city,Kentucky,992,46019,2.88,36.7,City,1,0,0
Stanford city,Kentucky,3673,34130,8.5,41.8,City,3,3,100
Stanton city,Kentucky,2701,28464,8.15,36.4,City,2,0,0
Strathmoor Manor city,Kentucky,419,160000,3.24,42.7,City,2,0,0
Strathmoor Village city,Kentucky,563,92656,3.42,46.4,City,1,0,0
Sturgis city,Kentucky,1654,42986,4.61,44.3,City,1,0,0
Sycamore city,Kentucky,186,75000,0.97,57,City,1,0,0
Taylor Mill city,Kentucky,6805,70952,1.58,39.4,City,3,0,0
Taylorsville city,Kentucky,1671,42083,8.13,39.2,City,4,0,0
Thornhill city,Kentucky,193,105833,1.1,40.3,City,1,0,0
Tompkinsville city,Kentucky,2748,30330,7.44,36,City,2,2,100
Trenton city,Kentucky,402,53036,11.9,38.9,City,1,0,0
Union city,Kentucky,5988,123630,2.05,38.9,City,6,1,8.91
Uniontown city,Kentucky,809,37837,1.65,44.7,City,1,1,100
Upton city,Kentucky,539,49318,4.02,42.1,City,2,0,0
Vanceburg city,Kentucky,1385,18264,1.27,43.4,City,1,1,100
Versailles city,Kentucky,9251,46922,3.94,39.8,City,6,0,0
Vicco city,Kentucky,393,30313,5.88,25.5,City,2,2,100
Villa Hills city,Kentucky,7475,91166,3.49,47.6,City,4,1,100
Vine Grove city,Kentucky,6234,69107,6.66,34.3,City,5,1,24.61
Walton city,Kentucky,4343,73750,2.98,29.6,City,3,0,0
Warfield city,Kentucky,214,33750,8.2,46.5,City,1,1,100
Warsaw city,Kentucky,1995,45588,3.24,35.1,City,2,0,0
Watterson Park city,Kentucky,969,23333,0,39.7,City,1,0,0
Waverly city,Kentucky,433,62576,0.52,44.3,City,1,1,100
Wayland city,Kentucky,406,24125,22.88,34.5,City,2,2,100
Wellington city,Kentucky,464,81563,2.57,50.4,City,1,0,0
West Buechel city,Kentucky,2046,44643,5.13,32,City,2,0,0
West Liberty city,Kentucky,3414,39842,3.26,38.4,City,2,2,100
West Point city,Kentucky,1098,36081,7.11,36.1,City,1,1,100
Westwood city,Kentucky,534,93125,3.11,41.8,City,4,3,74.04
Wheatcroft city,Kentucky,154,38333,0,52.2,City,1,1,100
Wheelwright city,Kentucky,808,22031,21.26,35.5,City,1,1,100
White Plains city,Kentucky,949,38393,4.05,47.2,City,1,1,100
Whitesburg city,Kentucky,2215,30568,9.81,44.3,City,3,1,100
Whitesville city,Kentucky,640,53750,1.54,31.6,City,1,0,0
Wickliffe city,Kentucky,756,29583,3.27,52.2,City,1,1,100
Wilder city,Kentucky,3083,58563,7.03,46.4,City,3,0,0
Wildwood city,Kentucky,222,73750,2.08,47,City,1,0,0
Williamsburg city,Kentucky,5266,30391,10.5,26.8,City,4,0,0
Williamstown city,Kentucky,3914,40886,0.93,31.2,City,6,0,0
Willisburg city,Kentucky,357,53750,5.96,35.1,City,1,0,0
Wilmore city,Kentucky,6339,65964,1.59,29.2,City,3,0,0
Winchester city,Kentucky,18520,43415,6.2,39.5,City,8,3,33.91
Windy Hills city,Kentucky,2290,103920,4.48,56.4,City,1,0,0
Wingo city,Kentucky,724,39286,3.05,36,City,1,1,100
Woodburn city,Kentucky,373,73750,7.14,56,City,1,0,0
Woodbury city,Kentucky,52,45625,0,48.5,City,1,0,0
Woodland Hills city,Kentucky,664,77813,2.32,38.8,City,2,0,0
Woodlawn city,Kentucky,209,55000,3.91,39.5,City,3,0,0
Woodlawn Park city,Kentucky,766,81875,1.2,48.4,City,1,0,0
Worthington city,Kentucky,1639,55686,6.23,42.7,City,3,0,0
Worthington Hills city,Kentucky,1585,62292,0.52,29.5,City,1,0,0
Worthville city,Kentucky,157,32639,3.92,48.5,City,1,1,100
Wurtland city,Kentucky,1452,36250,3.8,38.1,City,2,0,0
Abbeville city,Louisiana,12167,34555,7.95,40.5,City,5,1,35.27
Alexandria city,Louisiana,46545,41845,7.87,37.2,City,20,11,53.39
Baker city,Louisiana,13233,64455,7.65,37.8,City,6,4,65.03
Bastrop city,Louisiana,10060,23153,6.47,32.8,City,6,4,65.55
Baton Rouge city,Louisiana,222191,44177,8.66,32,City,83,33,50.35
Bogalusa city,Louisiana,11658,31619,10.85,38,City,6,6,100
Bossier city,Louisiana,68286,48385,6.35,34.8,City,21,8,64.88
Breaux Bridge city,Louisiana,8213,41556,10.44,36.4,City,4,2,100
Broussard city,Louisiana,12248,76515,5.83,33.7,City,10,0,0
Bunkie city,Louisiana,3903,24129,15.25,37.3,City,1,1,100
Carencro city,Louisiana,9346,48406,3.11,33.3,City,6,3,58.32
Central city,Louisiana,29235,90183,2.47,38.4,City,7,1,13.22
Covington city,Louisiana,10471,76399,3.84,38.3,City,10,1,35.31
Crowley city,Louisiana,12689,28888,11.85,39.5,City,5,1,100
Denham Springs city,Louisiana,9908,67921,7.26,35.1,City,8,0,0
DeQuincy city,Louisiana,3087,71320,3.17,27.3,City,2,0,0
DeRidder city,Louisiana,10955,49383,10.01,34.9,City,4,2,60.8
Donaldsonville city,Louisiana,8424,23151,15.15,28.9,City,3,1,100
Eunice city,Louisiana,9754,37411,11.42,34,City,6,2,60.9
Franklin city,Louisiana,6844,39194,8.5,38,City,10,7,84.2
Gonzales city,Louisiana,10932,52232,6.23,34.1,City,8,1,100
Grambling city,Louisiana,5168,23393,3.53,22.9,City,4,1,27.11
Gretna city,Louisiana,17746,41409,6.96,41.4,City,9,6,69.1
Hammond city,Louisiana,20557,31250,7.98,27.8,City,14,3,72.1
Harahan city,Louisiana,9293,70720,2.11,44.1,City,5,0,0
Houma city,Louisiana,33053,44956,5.74,36.3,City,15,3,100
Jeanerette city,Louisiana,5321,42616,23.2,38.3,City,2,1,100
Jennings city,Louisiana,9874,28360,6.84,37.5,City,4,3,100
Kaplan city,Louisiana,4463,32045,17.71,40.4,City,2,1,48.87
Kenner city,Louisiana,66759,54493,5.68,36.5,City,20,7,50.36
Lafayette city,Louisiana,126674,54139,5.27,36.4,City,45,12,50.07
Lake Charles city,Louisiana,77832,44785,6.14,35.5,City,30,11,62.65
Leesville city,Louisiana,5773,36250,10.98,34.9,City,6,1,23.56
Mandeville city,Louisiana,12567,76768,2.88,42.7,City,9,0,0
Mansfield city,Louisiana,4652,27776,15.55,37.6,City,3,3,100
Marksville city,Louisiana,5376,30146,6.63,33.6,City,3,0,0
Minden city,Louisiana,12035,26653,3.47,39.2,City,7,4,80
Monroe city,Louisiana,47906,31926,7.87,33,City,25,13,58.23
Morgan city,Louisiana,10963,40247,7.41,45.8,City,5,4,70.54
Natchitoches city,Louisiana,17711,23967,15.49,25.9,City,8,4,79.32
New Iberia city,Louisiana,28965,43938,10.75,36.4,City,15,5,64.44
New Orleans city,Louisiana,391249,43258,8.54,37.2,City,185,96,55.79
New Roads city,Louisiana,4500,37313,6.27,37.7,City,4,1,46.86
Oakdale city,Louisiana,7571,31103,9.22,44.7,City,4,2,100
Opelousas city,Louisiana,16687,32666,8.43,36.2,City,14,0,0
Patterson city,Louisiana,5844,42338,5.08,34.7,City,2,1,40.58
Pineville city,Louisiana,14179,50188,5.95,34,City,9,3,66.4
Plaquemine city,Louisiana,6589,51750,9.77,36.3,City,5,2,100
Ponchatoula city,Louisiana,7311,37381,1.78,37.6,City,7,0,0
Port Allen city,Louisiana,4883,55219,7.2,42.9,City,3,2,59.22
Rayne city,Louisiana,8062,35616,7,34.1,City,4,1,100
Ruston city,Louisiana,21987,32295,4.44,24.1,City,9,3,36.98
Scott city,Louisiana,8815,55825,4.27,39.1,City,10,5,84
Shreveport city,Louisiana,189890,40809,7.11,36.1,City,72,32,51.8
Slidell city,Louisiana,27782,55874,5.54,39.5,City,16,3,24.19
Springhill city,Louisiana,4851,25148,13.5,46.5,City,2,2,100
St. Gabriel city,Louisiana,7374,52103,6.69,36,City,1,1,100
St. Martinville city,Louisiana,5844,30530,11.12,47.8,City,4,1,59.28
Sulphur city,Louisiana,20122,54537,3.69,36.2,City,9,2,37.87
Tallulah city,Louisiana,6722,28354,10.69,33,City,5,5,100
Thibodaux city,Louisiana,14565,38415,9.06,31,City,7,2,18.46
Ville Platte city,Louisiana,7117,20147,22.61,31.7,City,5,4,100
West Monroe city,Louisiana,12431,35528,8.7,39.7,City,10,4,73.01
Westlake city,Louisiana,4788,55963,3.67,32.9,City,4,1,47.01
Westwego city,Louisiana,8411,33060,5.15,42.1,City,5,5,100
Winnfield city,Louisiana,4418,31458,4.32,41.6,City,4,3,100
Winnsboro city,Louisiana,4597,19675,4.38,29.5,City,2,2,100
Youngsville city,Louisiana,14118,95925,1.96,33.4,City,6,0,0
Zachary city,Louisiana,17699,89712,5.9,33,City,6,1,24.89
Auburn city,Maine,23267,51681,5.59,39.6,City,8,3,26.2
Augusta city,Maine,18662,38842,5.21,45.6,City,5,3,55.75
Bangor city,Maine,32029,47538,4.55,37.9,City,8,3,37.15
Bath city,Maine,8333,55396,3.63,43.1,City,2,1,38.81
Belfast city,Maine,6710,62720,5.88,59,City,1,0,0
Biddeford city,Maine,21502,54915,4.5,36.4,City,8,0,0
Brewer city,Maine,9026,48450,3.63,40.2,City,3,1,21.01
Calais city,Maine,3011,34844,11,55.8,City,1,1,100
Caribou city,Maine,7659,42325,2.46,53.1,City,3,3,100
Eastport city,Maine,1300,40179,5.43,61.1,City,1,1,100
Ellsworth city,Maine,8085,60718,2.73,43.8,City,2,0,0
Gardiner city,Maine,5670,52545,7.93,42.2,City,2,1,27.29
Hallowell city,Maine,2444,56989,4.33,38,City,1,0,0
Lewiston city,Maine,36158,42969,5.29,39.5,City,13,3,32.32
Old Town city,Maine,7453,41406,2.69,36.9,City,2,0,0
Portland city,Maine,66706,61695,3.25,36.5,City,21,5,21.26
Presque Isle city,Maine,9072,43410,4.28,42,City,3,1,39.4
Rockland city,Maine,7172,46895,5.89,45.8,City,3,1,36.49
Saco city,Maine,19716,71755,2.46,42.4,City,6,0,0
Sanford city,Maine,21166,58294,5.38,39.7,City,7,1,32.55
South Portland city,Maine,25665,67198,4.81,42.2,City,7,0,0
Waterville city,Maine,16623,39722,3.71,38.3,City,4,2,100
Westbrook city,Maine,18935,71183,3.69,39.2,City,5,1,41.66
Aberdeen city,Maryland,15904,66481,3,37.5,City,9,1,9.05
Annapolis city,Maryland,39321,87897,4.28,38.3,City,19,0,0
Baltimore city,Maryland,602274,52164,7.56,35.5,City,202,116,55.26
Bowie city,Maryland,58158,116796,4.8,42.7,City,19,0,0
Brunswick city,Maryland,6364,84133,8.07,36.3,City,2,0,0
Cambridge city,Maryland,12300,39063,9.2,39.7,City,6,2,42.62
College Park city,Maryland,32221,68825,5.01,21.7,City,11,3,33.52
Crisfield city,Maryland,2572,34444,18,39.2,City,2,2,100
Cumberland city,Maryland,19495,40888,7.81,40.3,City,9,4,39.15
District Heights city,Maryland,5996,66758,9.85,31.8,City,6,2,32.15
Frederick city,Maryland,71843,78400,4.71,36.4,City,24,4,20.68
Frostburg city,Maryland,8550,40781,10.73,24.1,City,3,0,0
Fruitland city,Maryland,5281,52392,11.3,28.6,City,2,0,0
Gaithersburg city,Maryland,67878,91845,6.5,37.6,City,29,3,18.02
Glenarden city,Maryland,6158,87917,5.21,41.1,City,5,1,15.15
Greenbelt city,Maryland,23253,71744,7.43,35.9,City,10,2,22.71
Hagerstown city,Maryland,40027,41905,8.39,35.9,City,18,9,48.96
Havre de Grace city,Maryland,13808,80853,6.19,45.3,City,4,0,0
Hyattsville city,Maryland,18267,80618,3.52,34.3,City,7,3,46.39
Laurel city,Maryland,25734,80255,5.68,36,City,10,1,9.6
Mount Rainier city,Maryland,8149,57200,5.48,42.1,City,5,4,82.2
New Carrollton city,Maryland,12925,70776,9.68,35.2,City,7,2,26.67
Pocomoke city,Maryland,4072,38402,4.65,40.3,City,2,1,58.37
Rockville city,Maryland,68155,111797,3.93,39.5,City,21,3,15.77
Salisbury city,Maryland,32850,44474,9.63,29.2,City,17,4,25.98
Seat Pleasant city,Maryland,4753,53532,18.99,43,City,5,2,34.38
Takoma Park city,Maryland,17703,83919,5.4,39.3,City,7,3,43.01
Taneytown city,Maryland,6837,67689,3.77,39.8,City,2,0,0
Westminster city,Maryland,18649,64399,4.97,36.5,City,8,0,0
Agawam Town city,Massachusetts,28627,72396,4.38,47.1,City,6,0,0
Amesbury Town city,Massachusetts,17474,81027,4.11,44.5,City,4,0,0
Amherst Town city,Massachusetts,39995,56906,10.77,21.4,City,7,1,33.15
Attleboro city,Massachusetts,45023,77107,4.2,40.1,City,9,1,7.11
Barnstable Town city,Massachusetts,44497,77227,3.42,47.5,City,12,2,15.84
Beverly city,Massachusetts,42062,84354,2.58,40.6,City,11,0,0
Boston city,Massachusetts,689326,76298,6.88,32.4,City,208,72,50.14
Braintree Town city,Massachusetts,37196,101544,4.23,41.1,City,9,0,0
Bridgewater Town city,Massachusetts,27441,100747,4.86,35.9,City,6,0,0
Brockton city,Massachusetts,95740,62249,8.37,35.6,City,23,9,47.2
Cambridge city,Massachusetts,117822,107490,3.95,30.6,City,33,2,4.16
Chelsea city,Massachusetts,39878,60370,6.22,33.8,City,9,7,100
Chicopee city,Massachusetts,55186,52702,6.98,41.3,City,12,5,38.14
Easthampton Town city,Massachusetts,15930,63657,4.74,46.5,City,3,0,0
Everett city,Massachusetts,46275,70627,5.61,35.1,City,11,4,82.93
Fall River city,Massachusetts,89618,46007,7.84,39.4,City,26,18,75.26
Fitchburg city,Massachusetts,40576,54683,7.98,35.6,City,11,4,39.99
Framingham city,Massachusetts,72846,86322,5.74,38.9,City,16,4,40.79
Franklin Town city,Massachusetts,33644,118193,4.21,40.9,City,7,0,0
Gardner city,Massachusetts,20605,51708,4.96,43.1,City,5,2,30.21
Gloucester city,Massachusetts,30291,76260,5.54,50.6,City,10,3,31.36
Greenfield city,Massachusetts,17353,46250,5.03,44.6,City,6,1,20.77
Haverhill city,Massachusetts,63783,69237,5.07,38.4,City,14,4,30.1
Holyoke city,Massachusetts,40161,42537,7.1,35.8,City,11,8,66.3
Lawrence city,Massachusetts,80022,45045,10.99,32.2,City,18,17,90.02
Leominster city,Massachusetts,41581,63119,5.42,41.5,City,10,2,21.16
Lowell city,Massachusetts,111311,62196,5.51,33.8,City,26,14,49.39
Lynn city,Massachusetts,94201,61329,6.35,35.3,City,25,16,60.44
Malden city,Massachusetts,60710,73399,6.66,35.1,City,13,4,54.85
Marlborough city,Massachusetts,39663,83469,4.83,39.4,City,7,0,0
Medford city,Massachusetts,58290,101168,3.41,35.4,City,14,0,0
Melrose city,Massachusetts,28054,114604,4.22,41.7,City,7,0,0
Methuen Town city,Massachusetts,50518,83527,6.6,39.6,City,11,1,9.16
New Bedford city,Massachusetts,95355,48999,7.29,36.4,City,32,21,65.17
Newburyport city,Massachusetts,18197,110740,5.47,45.9,City,4,0,0
Newton city,Massachusetts,88322,154398,3.29,41.1,City,19,0,0
North Adams city,Massachusetts,12897,49123,4.46,45.1,City,4,3,64.6
North Attleborough Town city,Massachusetts,29281,91994,5.69,40.2,City,7,1,25.09
Northampton city,Massachusetts,28552,71866,3.15,40,City,8,0,0
